,Learning Rate,Number of Epochs,Batch Size,Dropout,Activation Function,Additional Convolution Layer,Normalization,Loss,Accuracy,Training Time,OrigRunID,A,B,C,D,E,F,G,RandomRunID
0,0.0001,10.0,50.0,0.0,tanh,1.0,0.0,0.04135307566281408,0.9867,517.1659159660339,26,1,1,-1,-1,1,1,-1,1
1,0.01,10.0,100.0,1.0,tanh,0.0,0.0,0.1784460908651352,0.9445,524.8438146114349,16,-1,1,1,1,1,-1,-1,2
2,0.01,2.0,100.0,1.0,tanh,1.0,1.0,0.5287357546329499,0.839,113.11999773979187,8,-1,-1,1,1,1,1,1,3
3,0.0001,10.0,100.0,1.0,tanh,1.0,1.0,0.045120609927224,0.986,531.5432476997375,32,1,1,1,1,1,1,1,4
4,0.01,2.0,100.0,0.0,tanh,0.0,0.0,0.13949470150470733,0.9567,99.9429132938385,6,-1,-1,1,-1,1,-1,-1,5
5,0.0001,10.0,100.0,1.0,relu,1.0,0.0,0.04985523104621097,0.9846,307.5396330356598,31,1,1,1,1,-1,1,-1,6
6,0.0001,2.0,50.0,1.0,relu,1.0,1.0,0.06860339252816047,0.9783,81.68621468544006,19,1,-1,-1,1,-1,1,1,7
7,0.01,10.0,50.0,0.0,relu,0.0,0.0,0.186596483670803,0.9715,396.28127574920654,9,-1,1,-1,-1,-1,-1,-1,8
8,0.01,10.0,100.0,0.0,relu,1.0,0.0,0.13444071573138935,0.9663,287.47169303894043,13,-1,1,1,-1,-1,1,-1,9
9,0.01,2.0,50.0,0.0,relu,1.0,1.0,0.09628386707271566,0.9746,78.75666737556458,1,-1,-1,-1,-1,-1,1,1,10
10,0.0001,10.0,100.0,0.0,tanh,0.0,0.0,0.040507451429311184,0.9868,473.24330735206604,30,1,1,1,-1,1,-1,-1,11
11,0.01,2.0,50.0,0.0,tanh,1.0,0.0,2.4242900802612306,0.1135,123.21231627464294,2,-1,-1,-1,-1,1,1,-1,12
12,0.01,2.0,50.0,1.0,tanh,0.0,1.0,0.5258717025518418,0.8287,142.69304609298706,4,-1,-1,-1,1,1,-1,1,13
13,0.01,10.0,50.0,0.0,tanh,0.0,1.0,0.6052379981637,0.8126,649.8235011100769,10,-1,1,-1,-1,1,-1,1,14
14,0.01,10.0,100.0,0.0,tanh,1.0,1.0,1.4796755693435668,0.591,562.9355051517487,14,-1,1,1,-1,1,1,1,15
15,0.0001,2.0,50.0,0.0,tanh,0.0,1.0,0.048562516894564034,0.9843,116.25252485275269,18,1,-1,-1,-1,1,-1,1,16
16,0.0001,10.0,50.0,1.0,tanh,0.0,1.0,0.03824383376971818,0.9886,613.7094392776489,28,1,1,-1,1,1,-1,1,17
17,0.01,10.0,100.0,1.0,relu,0.0,1.0,12.778426950073243,0.2072,384.65795135498047,15,-1,1,1,1,-1,-1,1,18
18,0.0001,2.0,50.0,0.0,relu,0.0,0.0,0.06638579904697836,0.9797,75.89101982116699,17,1,-1,-1,-1,-1,-1,-1,19
19,0.0001,2.0,100.0,0.0,relu,1.0,0.0,0.1217514219865203,0.9619,59.69149470329285,21,1,-1,1,-1,-1,1,-1,20
20,0.0001,2.0,100.0,1.0,relu,0.0,1.0,0.06473677054801956,0.9777,80.84873056411743,23,1,-1,1,1,-1,-1,1,21
21,0.01,2.0,100.0,0.0,relu,0.0,1.0,14.535298265075683,0.0982,73.04700756072998,5,-1,-1,1,-1,-1,-1,1,22
22,0.0001,2.0,100.0,0.0,tanh,1.0,1.0,0.07068926277793944,0.9787,102.549391746521,22,1,-1,1,-1,1,1,1,23
23,0.01,2.0,50.0,1.0,relu,0.0,0.0,0.08604920640098862,0.9759,80.77664613723755,3,-1,-1,-1,1,-1,-1,-1,24
24,0.0001,2.0,50.0,1.0,tanh,1.0,0.0,0.0979629912674427,0.9701,99.49905776977539,20,1,-1,-1,1,1,1,-1,25
25,0.01,2.0,100.0,1.0,relu,1.0,0.0,0.09165799046463799,0.9736,62.302494525909424,7,-1,-1,1,1,-1,1,-1,26
26,0.0001,10.0,50.0,1.0,relu,0.0,0.0,0.035536653058696535,0.9885,412.83387064933777,27,1,1,-1,1,-1,-1,-1,27
27,0.0001,10.0,50.0,0.0,relu,1.0,1.0,0.04698649888669242,0.988,400.1323812007904,25,1,1,-1,-1,-1,1,1,28
28,0.0001,10.0,100.0,0.0,relu,0.0,1.0,0.054870814621305546,0.986,364.1530547142029,29,1,1,1,-1,-1,-1,1,29
29,0.01,10.0,50.0,1.0,tanh,1.0,0.0,0.44015919802188874,0.8659,498.5742154121399,12,-1,1,-1,1,1,1,-1,30
30,0.01,10.0,50.0,1.0,relu,1.0,1.0,1.144213659763336,0.629,433.57163095474243,11,-1,1,-1,1,-1,1,1,31
31,0.0001,2.0,100.0,1.0,tanh,0.0,0.0,0.1272399678647518,0.9636,99.18256950378418,24,1,-1,1,1,1,-1,-1,32
