,Learning Rate,Number of Epochs,Batch Size,Dropout,Activation Function,Additional Convolution Layer,Normalization,Loss,Accuracy,Training Time,OrigRunID,A,B,C,D,E,F,G,RandomRunID
0,0.0001,10.0,50.0,0.0,relu,1.0,1.0,0.048381339307383676,0.9879,524.0400905609131,25,1,1,-1,-1,-1,1,1,1
1,0.001,10.0,50.0,0.0,relu,0.0,0.0,0.03814242090299958,0.9914,397.24154686927795,9,-1,1,-1,-1,-1,-1,-1,2
2,0.001,2.0,100.0,1.0,tanh,1.0,1.0,0.05878367195772007,0.983,97.77900123596191,8,-1,-1,1,1,1,1,1,3
3,0.001,10.0,50.0,1.0,tanh,1.0,0.0,0.03887190376946237,0.989,484.3186557292938,12,-1,1,-1,1,1,1,-1,4
4,0.001,2.0,50.0,1.0,tanh,0.0,1.0,0.0988277693491429,0.9695,124.76608490943909,4,-1,-1,-1,1,1,-1,1,5
5,0.0001,10.0,50.0,1.0,relu,0.0,0.0,0.032282892364123836,0.9894,419.9352626800537,27,1,1,-1,1,-1,-1,-1,6
6,0.0001,2.0,100.0,1.0,tanh,0.0,0.0,0.12274820897877216,0.963,94.45113515853882,24,1,-1,1,1,1,-1,-1,7
7,0.001,2.0,100.0,0.0,relu,0.0,1.0,0.07654426849298179,0.9767,70.12764883041382,5,-1,-1,1,-1,-1,-1,1,8
8,0.001,2.0,50.0,0.0,relu,1.0,1.0,0.05467132308767177,0.9847,75.61285161972046,1,-1,-1,-1,-1,-1,1,1,9
9,0.001,2.0,100.0,1.0,relu,1.0,0.0,0.044254027277242855,0.9864,54.81645345687866,7,-1,-1,1,1,-1,1,-1,10
10,0.001,10.0,100.0,0.0,relu,1.0,0.0,0.03479439570196846,0.9896,245.12985706329346,13,-1,1,1,-1,-1,1,-1,11
11,0.0001,10.0,50.0,0.0,tanh,1.0,0.0,0.039734806437883526,0.9867,468.51348853111267,26,1,1,-1,-1,1,1,-1,12
12,0.0001,2.0,100.0,1.0,relu,0.0,1.0,0.07052474589738995,0.9771,68.57854771614075,23,1,-1,1,1,-1,-1,1,13
13,0.0001,2.0,50.0,0.0,tanh,0.0,1.0,0.051966996617801485,0.9825,110.9799497127533,18,1,-1,-1,-1,1,-1,1,14
14,0.0001,10.0,100.0,1.0,relu,1.0,0.0,0.04943687893101014,0.9845,260.5603678226471,31,1,1,1,1,-1,1,-1,15
15,0.001,10.0,100.0,1.0,relu,0.0,1.0,0.02918108620755811,0.9907,375.7494032382965,15,-1,1,1,1,-1,-1,1,16
16,0.0001,10.0,100.0,0.0,relu,0.0,1.0,0.035699176124849324,0.9895,337.6597783565521,29,1,1,1,-1,-1,-1,1,17
17,0.001,10.0,50.0,0.0,tanh,0.0,1.0,0.0468843218306778,0.9876,620.1721737384796,10,-1,1,-1,-1,1,-1,1,18
18,0.001,10.0,50.0,1.0,relu,1.0,1.0,0.042060548942082096,0.9871,422.60653614997864,11,-1,1,-1,1,-1,1,1,19
19,0.0001,2.0,100.0,0.0,relu,1.0,0.0,0.1308698053225875,0.9592,64.99511384963989,21,1,-1,1,-1,-1,1,-1,20
20,0.0001,2.0,100.0,0.0,tanh,1.0,1.0,0.06549289449602365,0.9806,111.21142196655273,22,1,-1,1,-1,1,1,1,21
21,0.0001,2.0,50.0,1.0,relu,1.0,1.0,0.07178564481264911,0.9769,95.64470434188843,19,1,-1,-1,1,-1,1,1,22
22,0.001,10.0,100.0,0.0,tanh,1.0,1.0,0.03982051314001437,0.9886,488.3770544528961,14,-1,1,1,-1,1,1,1,23
23,0.0001,10.0,100.0,1.0,tanh,1.0,1.0,0.04543649124361109,0.9847,490.59624910354614,32,1,1,1,1,1,1,1,24
24,0.001,10.0,100.0,1.0,tanh,0.0,0.0,0.0357360320111271,0.9889,482.05145835876465,16,-1,1,1,1,1,-1,-1,25
25,0.0001,2.0,50.0,1.0,tanh,1.0,0.0,0.11211176089644433,0.9656,98.12908267974854,20,1,-1,-1,1,1,1,-1,26
26,0.001,2.0,50.0,1.0,relu,0.0,0.0,0.03978310932170134,0.9867,85.55356049537659,3,-1,-1,-1,1,-1,-1,-1,27
27,0.001,2.0,50.0,0.0,tanh,1.0,0.0,0.053747925618989396,0.9842,95.30309867858887,2,-1,-1,-1,-1,1,1,-1,28
28,0.0001,2.0,50.0,0.0,relu,0.0,0.0,0.07258381081856788,0.9763,75.46354532241821,17,1,-1,-1,-1,-1,-1,-1,29
29,0.0001,10.0,50.0,1.0,tanh,0.0,1.0,0.03183698831080692,0.9899,599.5390207767487,28,1,1,-1,1,1,-1,1,30
30,0.0001,10.0,100.0,0.0,tanh,0.0,0.0,0.03597611613180488,0.9895,421.919677734375,30,1,1,1,-1,1,-1,-1,31
31,0.001,2.0,100.0,0.0,tanh,0.0,0.0,0.05894817626588047,0.9819,87.86735320091248,6,-1,-1,1,-1,1,-1,-1,32
